Blueshift Alert(57350)[2018-03-08 15:29:00+05:30](WARNING): order 2bb2ed4477da422592336739ef9f582f for 751.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2019-08-09 15:29:00+05:30](WARNING): order f2ad0d812c2e4657a03007851edb5cee for 497.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2019-11-15 15:29:00+05:30](WARNING): order 898af59c933e42b18f9d59f493d9db2c for 2.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2019-11-22 15:29:00+05:30](WARNING): order 1368ee4196be4f00b98f0d2df3dad90d for 90.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-03-25 15:29:00+05:30](WARNING): order 36b6005c622a461f9a2c4149d4972e9c for 1464.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-03-25 15:29:00+05:30](WARNING): order e615f706e80947949150cbb7fa5a3e20 for 5542.0 units of Equity(ADANIENT [17]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-04-13 15:29:00+05:30](WARNING): order a9870ba56273457cb07703567044bd23 for 2491.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-05-04 15:29:00+05:30](WARNING): order ac54a817c6b546f5909b59f2ab35d17d for 54.0 units of Equity(ADANIENT [17]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-05-15 15:29:00+05:30](WARNING): order fa1e128d0fa64440a3929eddb60c3d61 for 4054.0 units of Equity(ADANIENT [17]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-05-19 15:29:00+05:30](WARNING): order fe9c23dd142c4a3e9af2141e10701982 for 463.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-05-21 15:29:00+05:30](WARNING): order 58e1b4d77d6e46cd9525d3177de87917 for 1396.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-05-26 15:29:00+05:30](WARNING): order 15bd17d556064948b1843c9613986e99 for 1608.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-07-13 15:29:00+05:30](WARNING): order 199352ab720344f494746896a00e186b for 3289.0 units of Equity(ADANIENT [17]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-07-17 15:29:00+05:30](WARNING): order 44ac00d89a874ee788077854be5dffac for 857.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-07-24 15:29:00+05:30](WARNING): order 45b4b55ca8d848f19f8b43ef5053ce33 for 999.0 units of Equity(ADANIENT [17]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-07-31 15:29:00+05:30](WARNING): order 6dc9518d8c9f4a349e69050fe86cf6d1 for 795.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-08-17 15:29:00+05:30](WARNING): order aabaea730c6247b996b9ea0338185699 for 756.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-08-19 15:29:00+05:30](WARNING): order 11ad22c5e318477399e2e2e2357d8251 for 1033.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-08-26 15:29:00+05:30](WARNING): order 39434b04f0b74246ab6425a913600762 for 740.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-08-26 15:29:00+05:30](WARNING): order d50c6cc5e331466e9979b8000a48467b for 8.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-08-26 15:29:00+05:30](WARNING): order 12f8a92561df4829ae6b8530d3beab31 for 3.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-09-04 15:29:00+05:30](WARNING): order 6a0aacb5a5a5401ca52cd87dbc283aeb for 1199.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-09-23 15:29:00+05:30](WARNING): order 6bba098e369d493d8e83ec41fac92621 for 758.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-12-08 15:29:00+05:30](WARNING): order e0fd2bf1e202412b8fa1d780fc8e5a02 for 1597.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-12-11 15:29:00+05:30](WARNING): order 626073a023c94f8d970a290ea7c22c96 for 1130.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2020-12-17 15:29:00+05:30](WARNING): order f6a323e17c004c548e5e5a651638023d for 210.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-02-15 15:29:00+05:30](WARNING): order 19d11336521c4d84ba1ad4bb994e1415 for 1158.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-02-15 15:29:00+05:30](WARNING): order 596090671c9d4ab3af016f6627e19f23 for 37.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-02-24 15:29:00+05:30](WARNING): order 8683e496bf2a417392961ce8144c59c5 for 2221.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-03-08 15:29:00+05:30](WARNING): order f3c8ad1afe334c8281893a458d28367a for 4032.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-03-08 15:29:00+05:30](WARNING): order 5449ae47feba47708278a5e065cf60f0 for 18.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-03-24 15:29:00+05:30](WARNING): order 15f309747b3d43f38de3ede109547232 for 1647.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-03-26 15:29:00+05:30](WARNING): order 20da4773d5894b49b47fdc90aa2bab63 for 1274.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-04-16 15:29:00+05:30](WARNING): order 82936479a6af407d87a1f8db7f1ea795 for 12.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-05-06 15:29:00+05:30](WARNING): order fbfbec0628b045ecb366edd0805d7a23 for 249.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-05-10 15:29:00+05:30](WARNING): order b62c4ff76c1744198b1a3b878121b464 for 2161.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-05-11 15:29:00+05:30](WARNING): order 8ac6705deb3e4ae0b871a00a441f86b9 for 218.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-05-17 15:29:00+05:30](WARNING): order e133c7b0bb144c4888a305e2975ee623 for 847.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order d13a90d02453406ba36d2e07cb27e8f8 for 1406.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order 38501b3b19f74eff92b2e69a0a3232de for 272.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order df1a76339f954bbba45eb65b56cd9d1c for 62.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order 2cfca9936d8347afbab11d97b7513b5b for 2770.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order 6b128a68256741ad80e681cb10c21f99 for 5.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order d78473ada61f48e8a55cede5f3a2bc3f for 3.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order d8c256c7580e48a9b8c3a92592486581 for 13.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-14 15:29:00+05:30](WARNING): order 32c5a01fd58f46f2a1e67486e58cc68f for 27.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
