date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2018-01-01 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1000000.0000,0.0000,,
2018-01-02 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1000680.5688,0.0007,,
2018-01-03 00:00:00+05:30,987900.6000,19798.1000,968102.5000,980200.6900,1000000.0000,0.0000,-12098.1900,-1.2100,-12099.4000,987900.6000,0.0000,0.0000,-12099.4000,0.9800,0.9800,968102.5000,968102.5000,968102.5000,0.0000,1,0,-0.0121,-0.0121,0.1109,-0.0121,,,1001370.7231,0.0007,,
2018-01-04 00:00:00+05:30,1025176.1500,2541.2500,1022634.9000,997477.3100,1000000.0000,0.0000,25157.5900,18.5600,25176.1500,1025176.1500,0.0000,0.0000,37275.5500,1.0000,1.0000,1022634.9000,1022634.9000,1022634.9000,0.0000,2,0,0.0377,0.0252,0.3143,0.0000,,,1006987.8121,0.0056,,
2018-01-05 00:00:00+05:30,1077612.7500,1293.3000,1076319.4500,998778.7100,1000000.0000,0.0000,77540.7400,72.0100,77612.7500,1077612.7500,0.0000,0.0000,52436.6000,1.0000,1.0000,1076319.4500,1076319.4500,1076319.4500,0.0000,2,0,0.0511,0.0776,0.4589,0.0000,,,1012346.0932,0.0053,,
2018-01-08 00:00:00+05:30,1095536.5500,1689.0500,1093847.5000,998437.2400,1000000.0000,0.0000,95410.2600,126.2900,95536.5500,1095536.5500,0.0000,0.0000,17923.8000,1.0000,1.0000,1093847.5000,1093847.5000,1093847.5000,0.0000,2,0,0.0166,0.0955,0.4325,0.0000,,,1017675.6179,0.0053,,
2018-01-09 00:00:00+05:30,1100321.5000,21943.5000,1078378.0000,978281.9700,1000000.0000,0.0000,100096.0300,225.4700,100321.5000,1100321.5000,0.0000,0.0000,4784.9500,0.9800,0.9800,1078378.0000,1078378.0000,1078378.0000,0.0000,1,0,0.0044,0.1003,0.4013,0.0000,,,1018773.1549,0.0011,,
2018-01-10 00:00:00+05:30,1109635.3500,22348.9500,1087286.4000,977966.1600,1000000.0000,0.0000,109320.2400,315.1100,109635.3500,1109635.3500,0.0000,0.0000,9313.8500,0.9800,0.9800,1087286.4000,1087286.4000,1087286.4000,0.0000,1,0,0.0085,0.1096,0.3784,0.0000,,,1018466.4197,-0.0003,,
2018-01-11 00:00:00+05:30,1127441.7000,3633.2500,1123808.4500,996726.4300,1000000.0000,0.0000,127082.0200,359.6800,127441.7000,1127441.7000,0.0000,0.0000,17806.3500,1.0000,1.0000,1123808.4500,1123808.4500,1123808.4500,0.0000,2,0,0.0160,0.1274,0.3667,0.0000,,,1020757.3485,0.0022,,
2018-01-12 00:00:00+05:30,1101648.7500,1101648.7500,0.0000,0.0000,1000000.0000,0.0000,0.0000,101648.7500,101648.7500,1101648.7500,0.0000,0.0000,-25792.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0229,0.1016,0.3664,-0.0229,,,1022564.2107,0.0018,,
2018-01-15 00:00:00+05:30,1098887.8000,7439.8000,1091448.0000,1094208.9500,1000000.0000,0.0000,-2760.9500,101648.7500,98887.8000,1098887.8000,0.0000,0.0000,-2760.9500,0.9900,0.9900,1091448.0000,1091448.0000,1091448.0000,0.0000,2,0,-0.0025,0.0989,0.3496,-0.0253,,,1028809.1484,0.0061,,
2018-01-16 00:00:00+05:30,1083264.1500,22620.1500,1060644.0000,1066820.3000,1000000.0000,0.0000,-6176.3000,89440.4500,83264.1500,1083264.1500,0.0000,0.0000,-15623.6500,0.9800,0.9800,1060644.0000,1060644.0000,1060644.0000,0.0000,1,0,-0.0142,0.0833,0.3410,-0.0392,,,1026762.6492,-0.0020,,
2018-01-17 00:00:00+05:30,1065843.7500,21690.7500,1044153.0000,1046820.7300,1000000.0000,0.0000,-2667.7300,68511.4800,65843.7500,1065843.7500,0.0000,0.0000,-17420.4000,0.9800,0.9800,1044153.0000,1044153.0000,1044153.0000,0.0000,1,0,-0.0161,0.0658,0.3352,-0.0546,,,1034685.0452,0.0077,,
2018-01-18 00:00:00+05:30,1068125.4000,1061105.1500,7020.2500,7406.3300,1000000.0000,0.0000,-386.0800,68511.4800,68125.4000,1068125.4000,0.0000,0.0000,2281.6500,1.9200,0.0100,2049346.2500,7020.2500,1028183.2500,1021163.0000,1,1,0.0021,0.0681,0.3231,-0.0526,,,1037349.8076,0.0026,,
2018-01-19 00:00:00+05:30,1062981.4500,18672.4500,1044309.0000,1036766.9400,1000000.0000,0.0000,7542.0600,55439.3900,62981.4500,1062981.4500,0.0000,0.0000,-5143.9500,0.9800,0.9800,1044309.0000,1044309.0000,1044309.0000,0.0000,1,0,-0.0048,0.0630,0.3128,-0.0572,,,1044821.6862,0.0072,,
2018-01-22 00:00:00+05:30,1072168.7500,27340.1500,1044828.6000,1028131.9100,1000000.0000,0.0000,16696.6900,55472.0600,72168.7500,1072168.7500,0.0000,0.0000,9187.3000,2.9500,0.9700,3158340.6000,1044828.6000,2101584.6000,1056756.0000,2,1,0.0086,0.0722,0.3048,-0.0490,,,1050448.3606,0.0054,,
2018-01-23 00:00:00+05:30,1044638.1000,24563.2500,1020074.8500,1031140.8600,1000000.0000,0.0000,-11066.0100,55704.1100,44638.1000,1044638.1000,0.0000,0.0000,-27530.6500,3.0600,0.9800,3192846.8500,1020074.8500,2106460.8500,1086386.0000,2,1,-0.0257,0.0446,0.3118,-0.0734,,,1062411.0348,0.0114,,
2018-01-24 00:00:00+05:30,1055167.8000,1077204.4500,-22036.6500,-6868.8200,1000000.0000,0.0000,-15167.8300,70335.6300,55167.8000,1055167.8000,0.0000,0.0000,10529.7000,1.9900,-0.0200,2098546.6500,-22036.6500,1038255.0000,1060291.6500,1,1,0.0101,0.0552,0.3054,-0.0641,,,1062516.4750,0.0001,,
2018-01-25 00:00:00+05:30,1022946.7500,1026662.7500,-3716.0000,-25875.3300,1000000.0000,0.0000,22159.3300,787.4200,22946.7500,1022946.7500,0.0000,0.0000,-32221.0500,1.9500,-0.0000,1995374.8000,-3716.0000,995829.4000,999545.4000,1,1,-0.0305,0.0229,0.3173,-0.0927,,,1060589.7943,-0.0018,,
2018-01-29 00:00:00+05:30,1020079.3000,21080.3500,998998.9500,983447.7500,1000000.0000,0.0000,15551.2000,4528.1000,20079.3000,1020079.3000,0.0000,0.0000,-2867.4500,0.9800,0.9800,998998.9500,998998.9500,998998.9500,0.0000,1,0,-0.0028,0.0201,0.3094,-0.0952,,,1066355.4582,0.0054,,
2018-01-30 00:00:00+05:30,1014151.7500,21080.3500,993071.4000,983447.7500,1000000.0000,0.0000,9623.6500,4528.1000,14151.7500,1014151.7500,0.0000,0.0000,-5927.5500,0.9800,0.9800,993071.4000,993071.4000,993071.4000,0.0000,1,0,-0.0058,0.0142,0.3026,-0.1005,,,1059142.3875,-0.0068,,
2018-01-31 00:00:00+05:30,993525.5500,993525.5500,0.0000,0.0000,1000000.0000,0.0000,0.0000,-6474.4500,-6474.4500,993525.5500,0.0000,0.0000,-20626.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0203,-0.0065,0.3035,-0.1188,,,1057345.1107,-0.0017,,
