date,ADANIENT,TATAELXSI,BRITANNIA
2018-01-01 15:35:00+05:30,,,
2018-01-02 15:35:00+05:30,,,
2018-01-03 15:35:00+05:30,5485.0,,
2018-01-04 15:35:00+05:30,5481.0,18.0,
2018-01-05 15:35:00+05:30,5477.0,20.0,
2018-01-08 15:35:00+05:30,5475.0,20.0,
2018-01-09 15:35:00+05:30,5474.0,,
2018-01-10 15:35:00+05:30,5472.0,,
2018-01-11 15:35:00+05:30,5471.0,,4.0
2018-01-12 15:35:00+05:30,,,
2018-01-15 15:35:00+05:30,,368.0,150.0
2018-01-16 15:35:00+05:30,,1014.0,
2018-01-17 15:35:00+05:30,,995.0,
2018-01-18 15:35:00+05:30,-5291.0,995.0,
2018-01-19 15:35:00+05:30,,,223.0
2018-01-22 15:35:00+05:30,-5305.0,976.0,222.0
2018-01-23 15:35:00+05:30,-5315.0,976.0,223.0
2018-01-24 15:35:00+05:30,-5181.0,950.0,
2018-01-25 15:35:00+05:30,,916.0,-217.0
2018-01-29 15:35:00+05:30,,919.0,
2018-01-30 15:35:00+05:30,,919.0,
2018-01-31 15:35:00+05:30,,,
2018-02-01 15:35:00+05:30,4554.0,,2.0
2018-02-02 15:35:00+05:30,-4703.0,-933.0,
2018-02-05 15:35:00+05:30,-4918.0,-981.0,-209.0
2018-02-06 15:35:00+05:30,-5014.0,-1007.0,-215.0
2018-02-07 15:35:00+05:30,-4881.0,-986.0,-212.0
2018-02-08 15:35:00+05:30,,,
2018-02-09 15:35:00+05:30,,,
2018-02-12 15:35:00+05:30,4191.0,,2.0
2018-02-14 15:35:00+05:30,4189.0,9.0,2.0
2018-02-15 15:35:00+05:30,,281.0,
2018-02-16 15:35:00+05:30,,874.0,
2018-02-19 15:35:00+05:30,-4320.0,,
2018-02-20 15:35:00+05:30,-4409.0,,
2018-02-21 15:35:00+05:30,-4562.0,,
2018-02-22 15:35:00+05:30,-4361.0,876.0,181.0
2018-02-23 15:35:00+05:30,-4384.0,885.0,181.0
2018-02-26 15:35:00+05:30,-4416.0,888.0,185.0
2018-02-27 15:35:00+05:30,-4320.0,877.0,182.0
2018-02-28 15:35:00+05:30,-4320.0,881.0,183.0
2018-03-01 15:35:00+05:30,,894.0,
2018-03-05 15:35:00+05:30,,,
2018-03-06 15:35:00+05:30,-4680.0,,
2018-03-07 15:35:00+05:30,-5469.0,-984.0,202.0
2018-03-08 15:35:00+05:30,-6682.0,-751.0,
2018-03-09 15:35:00+05:30,-6746.0,,225.0
2018-03-12 15:35:00+05:30,-7482.0,,236.0
2018-03-13 15:35:00+05:30,-7041.0,,229.0
2018-03-14 15:35:00+05:30,-6463.0,,
2018-03-15 15:35:00+05:30,,,215.0
2018-03-16 15:35:00+05:30,,,215.0
2018-03-19 15:35:00+05:30,-6622.0,-1053.0,
